SourceType,SourceID,Shielding,PhotonEnergy,CountRate
HEU,1,0,13,2.96911e+01
HEU,1,0,15,7.02183e+01
HEU,1,0,17,1.14084e+02
HEU,1,0,19,7.68292e+01
HEU,1,0,21,5.14034e+01
HEU,1,0,23,4.09686e+01
HEU,1,0,25,3.88597e+01
HEU,1,0,27,4.21411e+01
HEU,1,0,29,3.33232e+01
HEU,1,0,31,2.16261e+01
HEU,1,0,33,1.63575e+01
HEU,1,0,35,1.45270e+01
HEU,1,0,37,1.36228e+01
HEU,1,0,39,1.33687e+01
HEU,1,0,41,1.37414e+01
HEU,1,0,43,1.45726e+01
HEU,1,0,45,1.59807e+01
HEU,1,0,47,1.88660e+01
HEU,1,0,49,2.47026e+01
HEU,1,0,51,3.40815e+01
HEU,1,0,53,4.49701e+01
HEU,1,0,55,5.32210e+01
HEU,1,0,57,5.62633e+01
HEU,1,0,59,5.60680e+01
HEU,1,0,61,5.72972e+01
HEU,1,0,63,6.29411e+01
HEU,1,0,65,7.22644e+01
HEU,1,0,67,8.19588e+01
HEU,1,0,69,8.85759e+01
HEU,1,0,71,9.10464e+01
HEU,1,0,73,9.22193e+01
HEU,1,0,75,9.85771e+01
HEU,1,0,77,1.16995e+02
HEU,1,0,79,1.51553e+02
HEU,1,0,81,2.01334e+02
HEU,1,0,83,2.63152e+02
HEU,1,0,85,3.37554e+02
HEU,1,0,87,4.32442e+02
HEU,1,0,89,5.59818e+02
HEU,1,0,91,7.22992e+02
HEU,1,0,93,9.03996e+02
HEU,1,0,95,1.06257e+03
HEU,1,0,97,1.15150e+03
HEU,1,0,99,1.14237e+03
HEU,1,0,101,1.04266e+03
HEU,1,0,103,8.92885e+02
HEU,1,0,105,7.44076e+02
HEU,1,0,107,6.32159e+02
HEU,1,0,109,5.64846e+02
HEU,1,0,111,5.25919e+02
HEU,1,0,113,4.91357e+02
HEU,1,0,115,4.42948e+02
HEU,1,0,117,3.76237e+02
HEU,1,0,119,2.97791e+02
HEU,1,0,121,2.19451e+02
HEU,1,0,123,1.52092e+02
HEU,1,0,125,1.01596e+02
HEU,1,0,127,6.93956e+01
HEU,1,0,129,5.36905e+01
HEU,1,0,131,5.15065e+01
HEU,1,0,133,6.00886e+01
HEU,1,0,135,7.67919e+01
HEU,1,0,137,9.88088e+01
HEU,1,0,139,1.22842e+02
HEU,1,0,141,1.44943e+02
HEU,1,0,143,1.61455e+02
HEU,1,0,145,1.69701e+02
HEU,1,0,147,1.69068e+02
HEU,1,0,149,1.61271e+02
HEU,1,0,151,1.49527e+02
HEU,1,0,153,1.37780e+02
HEU,1,0,155,1.29543e+02
HEU,1,0,157,1.26519e+02
HEU,1,0,159,1.29287e+02
HEU,1,0,161,1.37357e+02
HEU,1,0,163,1.50633e+02
HEU,1,0,165,1.70330e+02
HEU,1,0,167,1.99724e+02
HEU,1,0,169,2.43788e+02
HEU,1,0,171,3.07959e+02
HEU,1,0,173,3.96850e+02
HEU,1,0,175,5.11747e+02
HEU,1,0,177,6.48722e+02
HEU,1,0,179,7.97425e+02
HEU,1,0,181,9.42605e+02
HEU,1,0,183,1.06594e+03
HEU,1,0,185,1.15003e+03
HEU,1,0,187,1.18268e+03
HEU,1,0,189,1.15900e+03
HEU,1,0,191,1.08399e+03
HEU,1,0,193,9.69823e+02
HEU,1,0,195,8.33216e+02
HEU,1,0,197,6.91732e+02
HEU,1,0,199,5.59554e+02
HEU,1,0,201,4.46157e+02
HEU,1,0,203,3.54605e+02
HEU,1,0,205,2.84437e+02
HEU,1,0,207,2.31267e+02
HEU,1,0,209,1.90621e+02
HEU,1,0,211,1.57998e+02
HEU,1,0,213,1.30690e+02
HEU,1,0,215,1.06539e+02
HEU,1,0,217,8.53320e+01
HEU,1,0,219,6.69385e+01
HEU,1,0,221,5.15318e+01
HEU,1,0,223,3.93425e+01
HEU,1,0,225,3.00662e+01
HEU,1,0,227,2.33579e+01
HEU,1,0,229,1.89171e+01
HEU,1,0,231,1.61295e+01
HEU,1,0,233,1.44580e+01
HEU,1,0,235,1.35356e+01
HEU,1,0,237,1.29556e+01
HEU,1,0,239,1.25298e+01
HEU,1,0,241,1.20958e+01
HEU,1,0,243,1.15392e+01
HEU,1,0,245,1.08744e+01
HEU,1,0,247,1.00813e+01
HEU,1,0,249,9.21265e+00
HEU,1,0,251,8.33655e+00
HEU,1,0,253,7.50069e+00
HEU,1,0,255,6.75773e+00
HEU,1,0,257,6.14729e+00
HEU,1,0,259,5.69071e+00
HEU,1,0,261,5.39505e+00
HEU,1,0,263,5.25178e+00
HEU,1,0,265,5.24372e+00
HEU,1,0,267,5.34358e+00
HEU,1,0,269,5.51886e+00
HEU,1,0,271,5.73992e+00
HEU,1,0,273,5.97536e+00
HEU,1,0,275,6.20126e+00
HEU,1,0,277,6.39544e+00
HEU,1,0,279,6.54370e+00
